codeAssociationSortNumber|level|codeAcronym|codeOfficialTitle|codeMediumTitle|codeShortTitle|codeOfficialTitleEn|codeMediumTitleEn|codeShortTitleEn|codeNote|codeNoteEn|codeIncludes|codeIncludesAlso|codeExcludes|codeInfo|codeAdditionalInfo|codeInfoEn|codeUnitOfMeasure|parentCode|codeValidFrom|codeValidTo|codeDateCreated|codeDateModified
"76"|"5"|"SK0108545333"|"Dunajská Lužná"|"Dunajská Lužná"|"Dunajská Lužná"|"Dunajská Lužná"|"Dunajská Lužná"|"Dunajská Lužná"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0108"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"77"|"5"|"SK0108507903"|"Hamuliakovo"|"Hamuliakovo"|"Hamuliakovo"|"Hamuliakovo"|"Hamuliakovo"|"Hamuliakovo"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0108"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"78"|"5"|"SK0108503797"|"Hrubá Borša"|"Hrubá Borša"|"Hrubá Borša"|"Hrubá Borša"|"Hrubá Borša"|"Hrubá Borša"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0108"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"79"|"5"|"SK0108503801"|"Hrubý Šúr"|"Hrubý Šúr"|"Hrubý Šúr"|"Hrubý Šúr"|"Hrubý Šúr"|"Hrubý Šúr"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0108"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"80"|"5"|"SK0108503819"|"Hurbanova Ves"|"Hurbanova Ves"|"Hurbanova Ves"|"Hurbanova Ves"|"Hurbanova Ves"|"Hurbanova Ves"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0108"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"81"|"5"|"SK0108555487"|"Igram"|"Igram"|"Igram"|"Igram"|"Igram"|"Igram"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0108"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"82"|"5"|"SK0108507938"|"Ivanka pri Dunaji"|"Ivanka pri Dunaji"|"Ivanka pri Dunaji"|"Ivanka pri Dunaji"|"Ivanka pri Dunaji"|"Ivanka pri Dunaji"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0108"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"83"|"5"|"SK0108507997"|"Kalinkovo"|"Kalinkovo"|"Kalinkovo"|"Kalinkovo"|"Kalinkovo"|"Kalinkovo"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0108"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"84"|"5"|"SK0108555495"|"Kaplna"|"Kaplna"|"Kaplna"|"Kaplna"|"Kaplna"|"Kaplna"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0108"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"85"|"5"|"SK0108503851"|"Kostolná pri Dunaji"|"Kostolná pri Dunaji"|"Kostolná pri Dunaji"|"Kostolná pri Dunaji"|"Kostolná pri Dunaji"|"Kostolná pri Dunaji"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0108"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"86"|"5"|"SK0108503894"|"Kráľová pri Senci"|"Kráľová pri Senci"|"Kráľová pri Senci"|"Kráľová pri Senci"|"Kráľová pri Senci"|"Kráľová pri Senci"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0108"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
